# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:38:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525752240 (Default)
# output
#   file = player_data_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.652234
# Diagonal elements of inverse mass matrix:
# 0.0497907, 0.360279, 0.0129089, 0.0121742, 0.00838909, 0.00641804
-1064.3505,0.95131231,0.6522339,3,7,0,1071.2795,0.36041619,32.661904,0.25057344,0.23863631,0.31641238,0.29983395
-1061.7482,1,0.6522339,2,3,0,1064.933,0.30990654,22.627031,0.25839649,0.23972382,0.3031989,0.30898781
-1061.4747,0.97630877,0.6522339,3,7,0,1063.1397,0.32340178,17.070354,0.27253572,0.26789448,0.30362439,0.29356865
-1063.1724,0.7807981,0.6522339,3,7,0,1066.9081,0.2430951,26.971789,0.24922621,0.26738,0.33139898,0.32829214
-1061.9828,0.97727719,0.6522339,2,3,0,1064.0138,0.26849439,28.315072,0.24076402,0.27875207,0.32700988,0.30809754
-1063.7577,0.7692603,0.6522339,2,7,0,1066.9637,0.24252082,35.072237,0.27925054,0.27863751,0.3397344,0.31135415
-1065.3771,0.93961376,0.6522339,3,7,0,1066.8926,0.35126923,17.522945,0.25520665,0.2686628,0.25358643,0.31285251
-1061.8295,0.98019769,0.6522339,3,7,0,1068.5529,0.26624957,41.137275,0.26482265,0.26209287,0.32545121,0.29244222
-1063.4091,0.73851414,0.6522339,3,7,0,1065.7804,0.30772531,8.5520734,0.25363517,0.26653311,0.27557106,0.31492631
-1064.4929,0.93697364,0.6522339,3,7,0,1066.6262,0.31044028,11.445694,0.26391356,0.2464299,0.26094804,0.30425522
-1064.1006,0.983741,0.6522339,3,7,0,1067.0237,0.28882312,30.291459,0.22762441,0.25098284,0.34257158,0.31195666
-1065.1368,0.85921807,0.6522339,3,7,0,1069.9563,0.22879211,20.23357,0.25851665,0.25348349,0.25020359,0.29452676
-1062.8596,0.96544706,0.6522339,3,7,0,1067.9056,0.29017798,10.830024,0.29533096,0.26465597,0.28532534,0.30625148
-1064.4735,0.90854803,0.6522339,3,7,0,1067.3252,0.28508531,59.868407,0.26782182,0.30214569,0.27178833,0.28453375
-1068.0926,0.81644313,0.6522339,3,7,0,1072.8619,0.26718802,18.216998,0.29718154,0.25798406,0.24945604,0.34810876
-1062.4758,0.98018576,0.6522339,3,7,0,1070.4567,0.2860018,17.100788,0.246086,0.24526679,0.30339357,0.32954729
-1062.5816,0.92853587,0.6522339,3,7,0,1065.82,0.2702148,48.868961,0.29469776,0.2889485,0.3109088,0.29801145
-1063.3398,0.91031697,0.6522339,3,7,0,1064.9841,0.32888565,7.5012207,0.24854565,0.24860502,0.31130681,0.30233258
-1062.7934,0.96410341,0.6522339,3,7,0,1065.3768,0.2552798,65.59089,0.27350196,0.26404479,0.31134142,0.3072647
-1062.0328,1,0.6522339,3,7,0,1063.4533,0.32308637,16.01704,0.26290805,0.27358547,0.28681473,0.29078755
-1061.1261,0.95689968,0.6522339,3,7,0,1063.9295,0.26876678,26.252212,0.26851174,0.2579614,0.31766125,0.29638118
-1063.0582,0.85120276,0.6522339,2,7,0,1065.2489,0.2517705,18.35399,0.25903737,0.24515635,0.31281858,0.2741956
-1061.6905,1,0.6522339,3,7,0,1063.9563,0.28965574,50.291288,0.24819862,0.27062975,0.29143722,0.29539752
-1063.0822,0.6252595,0.6522339,3,7,0,1066.6938,0.25712437,7.4487977,0.26019731,0.25103706,0.28941536,0.3085094
-1061.6608,0.9782522,0.6522339,3,7,0,1063.6547,0.29718979,50.23994,0.27160173,0.28819293,0.31608142,0.30376664
-1061.6531,0.94888901,0.6522339,3,7,0,1062.7247,0.27424967,32.366811,0.26350693,0.29512657,0.31809088,0.30124235
-1062.0796,0.93791468,0.6522339,3,7,0,1064.0531,0.25484966,14.56372,0.2823638,0.26089323,0.28621362,0.29679467
-1063.1402,0.96411266,0.6522339,3,7,0,1064.4987,0.27043087,43.677368,0.21801441,0.25736389,0.30827702,0.30580695
-1067.4075,0.66274389,0.6522339,3,7,0,1070.5138,0.26517655,66.937969,0.21328306,0.28708849,0.33803081,0.31408637
-1065.2934,1,0.6522339,2,3,0,1067.4794,0.26253829,50.299759,0.2189179,0.29317093,0.32884232,0.31665397
