# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = test_model
# start_datetime = 2026-03-26 06:32:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 805450934 (Default)
# output
#   file = results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3
# Adaptation terminated
# Step size = 0.550906
# Diagonal elements of inverse mass matrix:
# 0.0903216, 0.560335, 0.0143741, 0.00762163, 0.00798517
-849.17835,0.94441624,0.55090594,3,7,0,855.5693,0.21586703,10.502811,0.27071668,0.31550837,0.29488822
-849.36418,0.96962182,0.55090594,3,7,0,850.90798,0.36256746,28.777696,0.25356845,0.28929546,0.30841568
-853.21773,0.9131332,0.55090594,3,7,0,855.48474,0.26845374,7.1344091,0.33002814,0.28008719,0.32230757
-849.71522,1,0.55090594,3,7,0,854.36232,0.35462287,18.772699,0.25891241,0.29507376,0.27883142
-849.71522,0.72452737,0.55090594,2,3,0,855.06362,0.35462287,18.772699,0.25891241,0.29507376,0.27883142
-849.17736,0.92936398,0.55090594,3,7,0,852.88731,0.31765556,12.530304,0.2396114,0.31152534,0.28819061
-850.04399,0.97708251,0.55090594,3,7,0,850.98332,0.26739868,5.0236846,0.24999608,0.31644325,0.29695101
-850.23676,0.87156143,0.55090594,3,7,0,853.75955,0.3691607,13.304626,0.26638096,0.29409816,0.27701266
-851.57646,0.9108176,0.55090594,3,7,0,852.8728,0.16356061,16.136369,0.2563953,0.32278744,0.32541314
-849.10051,0.98584381,0.55090594,2,7,0,852.32879,0.22307514,8.3323436,0.26675382,0.29240498,0.30822532
-847.54554,0.87950667,0.55090594,3,7,0,854.05511,0.28350487,25.32154,0.26204691,0.30809134,0.31113851
-849.9821,0.88578311,0.55090594,2,7,0,851.18743,0.27509344,35.279492,0.28980916,0.28170909,0.27650947
-848.53498,0.96600482,0.55090594,3,7,0,852.21244,0.2898061,15.333248,0.25516288,0.32321095,0.29190571
-849.82199,0.86103007,0.55090594,3,7,0,852.07898,0.35263764,10.995113,0.23370313,0.28999615,0.30113323
-851.42679,0.86862522,0.55090594,3,7,0,854.07454,0.31086588,3.0569864,0.29253048,0.30714968,0.3043957
-850.51082,0.99606794,0.55090594,3,7,0,852.6312,0.27528882,6.838061,0.29788634,0.32028446,0.32132566
-849.59172,0.97349424,0.55090594,3,7,0,851.78407,0.29333518,50.448021,0.24764778,0.27966541,0.29359132
-848.92363,0.83822972,0.55090594,3,7,0,851.32914,0.30693522,9.1105887,0.27360983,0.32078821,0.30008899
-850.231,0.9348824,0.55090594,3,7,0,852.21837,0.3401984,23.95799,0.23198979,0.31564878,0.3336403
-849.7889,1,0.55090594,3,7,0,851.62425,0.26269559,10.653417,0.28979957,0.28941077,0.28259973
-848.80247,0.95242086,0.55090594,3,7,0,853.16469,0.25536684,26.199671,0.25000574,0.32323196,0.32107084
-847.8797,1,0.55090594,2,3,0,848.93372,0.31998331,22.449375,0.25773479,0.31521263,0.30964519
-849.68033,0.79086456,0.55090594,2,3,0,852.71537,0.30360236,24.79026,0.26310341,0.34556764,0.3153204
-853.04829,0.8192706,0.55090594,2,3,0,853.68589,0.38461735,16.784477,0.25332216,0.35181137,0.34192636
-848.89823,1,0.55090594,3,7,0,853.42397,0.2578462,20.783352,0.2836381,0.29809222,0.28058635
-850.14011,0.95002783,0.55090594,3,7,0,850.94917,0.2685871,6.6258993,0.24917761,0.30794865,0.33246247
-851.08266,0.959501,0.55090594,2,7,0,851.67485,0.26851014,3.6858034,0.25672021,0.31450021,0.32778476
-848.86827,0.94382731,0.55090594,3,7,0,853.21862,0.28870313,50.47193,0.27405696,0.29518489,0.28778954
-849.44681,0.93696756,0.55090594,3,7,0,850.01557,0.24686546,9.1844823,0.25737675,0.31455097,0.32842458
-849.54188,0.91086669,0.55090594,3,7,0,852.29477,0.2760679,68.68217,0.27290336,0.30421625,0.30399553
-853.9003,0.92232051,0.55090594,3,7,0,856.37251,0.32371056,6.210117,0.30057268,0.25823872,0.33374033
-850.99864,1,0.55090594,3,7,0,856.97053,0.37734614,9.5166675,0.29238328,0.31406549,0.33801031
-850.44291,0.99259853,0.55090594,3,7,0,853.55202,0.25213344,20.553226,0.25766325,0.3492085,0.31214728
-849.3251,0.98745132,0.55090594,3,7,0,852.12658,0.28380507,17.336104,0.24423022,0.2711749,0.31340583
-851.04568,0.84818204,0.55090594,3,7,0,853.69063,0.42693418,11.979325,0.2979652,0.3046316,0.29521836
-851.45739,0.87536714,0.55090594,3,7,0,854.78528,0.24664154,10.078355,0.31116654,0.30762635,0.27679311
-848.48887,0.98267789,0.55090594,3,7,0,852.27646,0.30216556,41.746088,0.25073989,0.30345303,0.32054121
-851.38773,0.63827206,0.55090594,3,7,0,853.79326,0.22198653,4.0265065,0.25228126,0.27716075,0.29580939
-849.76421,0.97969583,0.55090594,3,7,0,853.0842,0.34932532,7.5296231,0.28891811,0.30537404,0.31987587
-850.50324,0.89049789,0.55090594,3,7,0,855.69545,0.28244996,13.431413,0.23037821,0.29182259,0.27394149
-850.63625,0.99095686,0.55090594,3,7,0,851.83156,0.38603394,13.816976,0.29289507,0.30903447,0.33708759
-851.47424,0.94604102,0.55090594,3,7,0,852.835,0.34232563,7.7605477,0.29551845,0.31185985,0.34274934
-850.94571,0.86300353,0.55090594,3,7,0,855.72485,0.42301222,17.469393,0.27266391,0.31240335,0.33257601
-851.7955,0.84229423,0.55090594,3,7,0,855.86009,0.19733451,16.248341,0.29110559,0.29536098,0.26667427
-851.06398,1,0.55090594,2,3,0,852.40533,0.19257428,20.666294,0.29037504,0.30090109,0.27667755
-851.55202,0.95995522,0.55090594,3,7,0,854.27448,0.24670047,12.837339,0.21990007,0.29319231,0.34095093
-848.50754,0.94109034,0.55090594,3,7,0,853.94537,0.31453759,23.668209,0.29311264,0.31924598,0.31390523
-849.01093,0.88391876,0.55090594,3,7,0,851.53532,0.32838225,13.12794,0.27042228,0.32233636,0.28802411
-850.07638,0.38881179,0.55090594,2,3,0,856.0956,0.25731293,43.315151,0.28619644,0.33226757,0.30666566
