# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:32:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525420468 (Default)
# output
#   file = base_model_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.610302
# Diagonal elements of inverse mass matrix:
# 0.0470834, 0.35669, 0.0144418, 0.0134428, 0.00826597, 0.00758519
-1063.3276,0.97792512,0.61030207,3,7,0,1064.0931,0.23495179,18.848831,0.25810372,0.24357821,0.26854865,0.29599977
-1063.2046,0.96632652,0.61030207,3,7,0,1066.5504,0.23525262,11.329236,0.25110302,0.27785162,0.30982855,0.33135936
-1063.083,0.87984897,0.61030207,3,7,0,1068.3034,0.36939436,16.438375,0.24963038,0.27279191,0.29251081,0.29270396
-1068.8519,0.8793735,0.61030207,3,7,0,1070.109,0.16077415,31.268524,0.23238392,0.25099317,0.33722541,0.30469971
-1066.9154,1,0.61030207,3,7,0,1070.7333,0.39923369,5.0738007,0.3061675,0.30486321,0.31128032,0.30751754
-1061.9368,0.95096038,0.61030207,3,7,0,1068.262,0.31413429,20.126709,0.29693289,0.26538526,0.31894819,0.30618107
-1062.4944,0.90961225,0.61030207,3,7,0,1065.737,0.32302743,13.52655,0.23268057,0.27397225,0.29778507,0.30746461
-1061.2462,0.90479568,0.61030207,3,7,0,1065.3189,0.26479073,27.722164,0.2653086,0.25527409,0.31533557,0.31728419
-1063.6807,0.77596232,0.61030207,2,3,0,1065.2017,0.24923245,51.132443,0.25852547,0.26620711,0.33464163,0.31662501
-1062.9422,0.94371607,0.61030207,3,7,0,1066.9323,0.31571822,11.714129,0.28017026,0.28581449,0.28056445,0.29650767
-1065.853,0.91993964,0.61030207,3,7,0,1067.885,0.43039745,6.1441142,0.26520076,0.23635234,0.30942116,0.3081315
-1064.5386,0.93509397,0.61030207,3,7,0,1068.3986,0.20749236,34.559291,0.23563564,0.28432718,0.31830458,0.31359263
-1066.0581,0.75607177,0.61030207,3,7,0,1067.7684,0.32350294,2.894958,0.27442088,0.24277121,0.29118212,0.30660294
-1061.3123,0.98352031,0.61030207,3,7,0,1068.9885,0.2610907,26.556419,0.25436663,0.27150488,0.30517717,0.28600319
-1062.5005,0.90613724,0.61030207,3,7,0,1063.7416,0.29422292,53.96932,0.27419574,0.28469366,0.27586164,0.30310746
-1062.6508,0.99990733,0.61030207,3,7,0,1063.5091,0.2611101,15.771775,0.25333416,0.25044785,0.33032088,0.29170508
-1063.5632,0.97602298,0.61030207,3,7,0,1065.1992,0.21881672,16.77174,0.27224513,0.28192437,0.27232344,0.31819751
-1062.6197,1,0.61030207,3,7,0,1064.9128,0.33483331,40.841473,0.26155999,0.26161691,0.32782144,0.29830936
-1062.1927,1,0.61030207,3,7,0,1064.2382,0.23383431,16.862947,0.26991016,0.27425353,0.28064771,0.31018478
-1062.9864,0.97381765,0.61030207,3,7,0,1064.315,0.27843103,36.676157,0.27726483,0.29219734,0.26697023,0.3079902
-1061.7576,0.92698718,0.61030207,3,7,0,1065.6003,0.28165418,21.236228,0.27584175,0.25125353,0.31055107,0.28501162
-1062.5115,0.84395119,0.61030207,3,7,0,1066.5748,0.23963415,15.865214,0.2485116,0.27107947,0.28608417,0.3257431
-1062.4915,0.85789648,0.61030207,3,7,0,1067.061,0.31928136,22.094658,0.26986727,0.25378776,0.31746619,0.27957479
-1063.5237,0.84037923,0.61030207,3,7,0,1066.2493,0.25159065,11.691193,0.25183177,0.26504819,0.32998188,0.33041566
